1단계,2단계,3단계,격자 X,격자 Y,경도(초/100),위도(초/100)
경상남도,,,91,77,128.694166666666,35.2347361111111
경상남도,창원시의창구,,90,77,128.6401544,35.2540033
경상남도,창원시의창구,동읍,91,78,128.682513,35.284725
경상남도,창원시의창구,북면,89,79,128.6070384,35.3477816
경상남도,창원시의창구,대산면,91,79,128.7077811,35.332427
경상남도,창원시의창구,의창동,90,77,128.6229495,35.2621267
경상남도,창원시의창구,팔룡동,90,77,128.6123236,35.2578111
경상남도,창원시의창구,명곡동,90,77,128.6402341,35.2535471
경상남도,창원시의창구,봉림동,91,77,128.6673448,35.2519644
경상남도,창원시성산구,,91,76,128.7029401,35.1983844
경상남도,창원시성산구,반송동,91,77,128.6695125,35.2359429
경상남도,창원시성산구,용지동,91,77,128.6841286,35.2362277
경상남도,창원시성산구,중앙동,91,77,128.673695,35.2210983
경상남도,창원시성산구,상남동,91,76,128.687212,35.216268
경상남도,창원시성산구,사파동,91,76,128.708712,35.215843
경상남도,창원시성산구,가음정동,91,76,128.700594,35.2131393
경상남도,창원시성산구,성주동,91,76,128.6950205,35.1897409
경상남도,창원시성산구,웅남동,90,76,128.6271625,35.2053096
경상남도,창원시마산합포구,,89,76,128.567863,35.196874
경상남도,창원시마산합포구,구산면,89,74,128.580887,35.119699
경상남도,창원시마산합포구,진동면,88,74,128.488325,35.115182
경상남도,창원시마산합포구,진북면,87,74,128.467412,35.115474
경상남도,창원시마산합포구,진전면,86,74,128.418987,35.10289
경상남도,창원시마산합포구,현동,89,75,128.5770118,35.1388574
경상남도,창원시마산합포구,가포동,89,75,128.57205,35.169568
경상남도,창원시마산합포구,월영동,89,76,128.5577505,35.1793142
경상남도,창원시마산합포구,문화동,89,76,128.558175,35.184685
경상남도,창원시마산합포구,중앙동,89,76,128.5641375,35.1940929
경상남도,창원시마산합포구,완월동,89,76,128.564137,35.199526
경상남도,창원시마산합포구,자산동,89,76,128.5654462,35.2055381
경상남도,창원시마산합포구,교방동,89,76,128.566238,35.214335
경상남도,창원시마산합포구,오동동,89,76,128.5786,35.208768
경상남도,창원시마산합포구,합포동,89,76,128.5791278,35.2109247
경상남도,창원시마산합포구,산호동,89,76,128.5859895,35.2160999
경상남도,창원시마산회원구,,89,76,128.579706,35.220932
경상남도,창원시마산회원구,내서읍,88,77,128.507625,35.24681
경상남도,창원시마산회원구,회원1동,89,76,128.5742472,35.2182626
경상남도,창원시마산회원구,회원2동,89,76,128.569238,35.218901
경상남도,창원시마산회원구,석전동,89,77,128.57335,35.230185
경상남도,창원시마산회원구,회성동,89,77,128.561637,35.233076
경상남도,창원시마산회원구,양덕1동,89,77,128.586212,35.23231
경상남도,창원시마산회원구,양덕2동,89,77,128.583925,35.229201
경상남도,창원시마산회원구,합성1동,89,77,128.5839889,35.2422167
경상남도,창원시마산회원구,합성2동,89,77,128.586195,35.2410453
경상남도,창원시마산회원구,구암1동,89,77,128.593525,35.2493833
경상남도,창원시마산회원구,구암2동,89,77,128.598388,35.24901
경상남도,창원시마산회원구,봉암동,89,76,128.6024625,35.2175954
경상남도,창원시진해구,,91,75,128.710081,35.13306
경상남도,창원시진해구,충무동,91,75,128.660338,35.15054
경상남도,창원시진해구,여좌동,91,75,128.6603153,35.1585489
경상남도,창원시진해구,태백동,91,75,128.6773763,35.1538996
경상남도,창원시진해구,경화동,91,75,128.686838,35.154357
경상남도,창원시진해구,병암동,91,75,128.6895627,35.154983
경상남도,창원시진해구,석동,91,75,128.7000326,35.1586454
경상남도,창원시진해구,이동,91,75,128.6999119,35.1493421
경상남도,창원시진해구,자은동,91,75,128.7054364,35.1470924
경상남도,창원시진해구,덕산동,91,75,128.7037445,35.1433466
경상남도,창원시진해구,풍호동,91,75,128.707313,35.137599
경상남도,창원시진해구,웅천동,92,74,128.7496332,35.111338
경상남도,창원시진해구,웅동1동,93,75,128.7826923,35.1258956
경상남도,창원시진해구,웅동2동,93,74,128.814835,35.1012816
경상남도,진주시,,81,75,128.109999999999,35.1770333333333
경상남도,진주시,문산읍,82,75,128.166511111111,35.1660027777777
경상남도,진주시,내동면,80,75,128.069622222222,35.1623833333333
경상남도,진주시,정촌면,81,74,128.104975,35.1281305555555
경상남도,진주시,금곡면,82,73,128.190022222222,35.0912638888888
경상남도,진주시,진성면,83,75,128.225544444444,35.1819222222222
경상남도,진주시,일반성면,84,75,128.279277777777,35.1680305555555
경상남도,진주시,이반성면,85,75,128.328552777777,35.1661722222222
경상남도,진주시,사봉면,84,75,128.272711111111,35.1852083333333
경상남도,진주시,지수면,83,76,128.271844444444,35.2318944444444
경상남도,진주시,대곡면,82,77,128.171575,35.2612194444444
경상남도,진주시,금산면,81,76,128.150111111111,35.2109333333333
경상남도,진주시,집현면,80,76,128.088586111111,35.23595
경상남도,진주시,미천면,81,78,128.117577777777,35.2961388888888
경상남도,진주시,명석면,79,76,128.042541666666,35.2165111111111
경상남도,진주시,대평면,78,76,127.963022222222,35.2296111111111
